T SUM NUM_NODES 5644
T SUM NUM_PRUNES 0
T SUM SEARCH_TIME 0.344085

Solving normal LP:
Solving with simplex method...done!
CPXlpopt ended with status 0!
CPXlpopt ended with lpstat 1!
Obj: w = 1 / 3 == 0.333333
Assigning optimum fraction and reducing LP.
temp_error_term = 0.0000001000
num_rounded = 72, num_remaining = 113
                                  w =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(1,0,0,1,1,1,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,1,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
