                                  w =          4 /          9 == 0.4444444444 =/= 0.4444444444
                   d2r2f(1,0,1,1,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(1,0,1,1,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(1,0,1,1,_,_,_,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(1,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(1,0,1,0,1,1,_,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(1,0,1,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(1,0,1,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(1,0,1,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(1,0,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,1,1,_,_,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(1,0,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(1,0,0,1,1,0,1,1,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(1,0,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(1,0,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,0,1,1,1,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,0,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,1,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(1,0,0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,1,0,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(1,0,0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2a(0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                   d2r2f(0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,1,1,0,1,1,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2a(0,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,1,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,1,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,1,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,1,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,0,1,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2a(0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,1,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,1,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,1,1,0,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,1,1,0,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,0,1,1,1,1,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,0,1,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,1,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2a(0,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,1,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,0,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2e(0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
